epic_host,k2_campaign_str,k2_name,alt_name,tm_designation,k2_kepmag,ra_str,dec_str,last_update
EPIC 60017806,E,K2-1 b,WASP-28 b,2MASS J23342787-0134482,11.500,23h34m27.88s,-01d34m48.2s,2015-07-30
EPIC 60021410,E,K2-2 b,HIP 116454 b,2MASS J23354927+0026436,9.507,23h35m49.28s,+00d26m43.9s,2015-07-30
EPIC 201367065,1,K2-3 b,K2-3 b,2MASS J11292037-0127173,11.574,11h29m20.39s,-01d27m17.2s,2015-07-30
EPIC 201367065,1,K2-3 c,K2-3 c,2MASS J11292037-0127173,11.574,11h29m20.39s,-01d27m17.2s,2015-07-30
EPIC 201367065,1,K2-3 d,K2-3 d,2MASS J11292037-0127173,11.574,11h29m20.39s,-01d27m17.2s,2015-07-30
EPIC 201208431,1,K2-4 b,K2-4 b,2MASS J11385895-0354202,14.409,11h38m58.95s,-03d54m20.1s,2015-07-30
EPIC 201338508,1,K2-5 b,K2-5 b,2MASS J11171284-0152406,14.364,11h17m12.84s,-01d52m40.7s,2015-07-30
EPIC 201338508,1,K2-5 c,K2-5 c,2MASS J11171284-0152406,14.364,11h17m12.84s,-01d52m40.7s,2015-07-30
EPIC 201384232,1,K2-6 b,K2-6 b,2MASS J11524614-0111545,12.510,11h52m46.14s,-01d11m54.5s,2015-07-30
EPIC 201393098,1,K2-7 b,K2-7 b,2MASS J11082249-0103565,13.054,11h08m22.50s,-01d03m56.7s,2015-07-30
EPIC 201445392,1,K2-8 b,K2-8 b,2MASS J11191047-0017036,14.384,11h19m10.48s,-00d17m03.8s,2015-07-30
EPIC 201465501,1,K2-9 b,K2-9 b,2MASS J11450348+0000190,14.957,11h45m03.47s,+00d00m19.1s,2015-07-30
EPIC 201577035,1,K2-10 b,K2-10 b,2MASS J11282927+0141264,12.296,11h28m29.27s,+01d41m26.3s,2015-07-30
EPIC 201596316,1,K2-11 b,K2-11 b,2MASS J11161006+0159128,13.151,11h16m10.08s,+01d59m12.6s,2015-07-30
EPIC 201613023,1,K2-12 b,K2-12 b,2MASS J11324609+0214415,12.137,11h32m46.09s,+02d14m41.6s,2015-07-30
EPIC 201629650,1,K2-13 b,K2-13 b,2MASS J11203732+0230097,12.727,11h20m37.33s,+02d30m09.7s,2015-07-30
EPIC 201635569,1,K2-14 b,K2-14 b,2MASS J11521368+0235390,15.547,11h52m13.69s,+02d35m39.3s,2015-07-30
EPIC 201736247,1,K2-15 b,K2-15 b,2MASS J11522658+0415171,14.403,11h52m26.59s,+04d15m17.1s,2015-07-30
EPIC 201754305,1,K2-16 b,K2-16 b,2MASS J11402333+0433264,14.298,11h40m23.34s,+04d33m26.4s,2015-07-30
EPIC 201754305,1,K2-16 c,K2-16 c,2MASS J11402333+0433264,14.298,11h40m23.34s,+04d33m26.4s,2015-07-30
EPIC 201855371,1,K2-17 b,K2-17 b,2MASS J11531915+0624439,12.997,11h53m19.15s,+06d24m44.1s,2015-07-30
EPIC 201912552,1,K2-18 b,K2-18 b,2MASS J11301450+0735180,12.473,11h30m14.51s,+07d35m18.2s,2015-07-30
EPIC 201505350,1,K2-19 b,K2-19 b,2MASS J11395048+0036129,12.806,11h39m50.47s,+00d36m12.9s,2015-07-30
EPIC 201505350,1,K2-19 c,K2-19 c,2MASS J11395048+0036129,12.806,11h39m50.47s,+00d36m12.9s,2015-07-30
EPIC 202126852,0,K2-20 b,HAT-P-56 b,2MASS J06432353+2715082,10.900,06h43m23.53s,+27d15m08.3s,2015-07-30
EPIC 210490365,4,K2-25 b,K2-25 b,2MASS J04130560+1514520,14.528,04h13m05.62s,+15d14m51.9s,2016-01-05
EPIC 206247743,3,K2-39 b,K2-39 b,2MASS J22332842-0901219,10.581,22h33m28.41s,-09d01m22.0s,2016-06-03
EPIC 211351816,5,K2-97 b,K2-97 b,2MASS J08310308+1050513,12.409,08h31m03.08s,+10d50m51.3s,2016-09-29
EPIC 211391664,5,K2-98 b,K2-98 b,2MASS J08255719+1130402,12.102,08h25m57.19s,+11d30m40.1s,2016-09-29
EPIC 201437844,10,K2-109 b,HD 106315 b,2MASS J12135339-0023365,9.234,12h13m53.39s,-00d23m36.5s,2017-03-02
EPIC 212521166,6,K2-110 b,K2-110 b,2MASS J13492388-1217042,11.590,13h49m23.89s,-12d17m04.2s,2017-05-18
EPIC 220504338,8,K2-113 b,K2-113 b,2MASS J01174783+0652080,13.514,01h17m47.83s,+06d52m08.0s,2017-07-27
EPIC 212398486,6,K2-125 b,K2-125 b,2MASS J13363410-1456512,15.147,13h36m34.11s,-14d56m51.4s,2017-10-05
EPIC 212460519,6,K2-126 b,K2-126 b,2MASS J13341115-1334370,12.445,13h34m11.17s,-13d34m36.9s,2017-10-05
EPIC 212554013,6,K2-127 b,K2-127 b,2MASS J13481881-1135204,14.733,13h48m18.81s,-11d35m20.3s,2017-10-05
EPIC 212686205,6,K2-128 b,K2-128 b,2MASS J13374504-0835494,12.256,13h37m45.04s,-08d35m49.4s,2017-10-05
EPIC 214787262,7,K2-129 b,K2-129 b,2MASS J19163558-2538417,12.533,19h16m35.60s,-25d38m41.9s,2017-10-05
EPIC 217941732,7,K2-130 b,K2-130 b,2MASS J19210486-1941269,12.283,19h21m04.86s,-19d41m26.9s,2017-10-05
EPIC 201912552,1,K2-18 c,K2-18 c,2MASS J11301450+0735180,12.473,11h30m14.51s,+07d35m18.2s,2017-12-21
EPIC 228735255,10,K2-140 b,K2-140 b,2MASS J12323296-0936274,12.483,12h32m32.96s,-09d36m27.5s,2018-01-05
EPIC 246441449,12,K2-134 b,WASP-151 b,2MASS J23161522+0018242,12.670,23h16m15.23s,+00d18m24.3s,2017-10-27
EPIC 246393474,12,K2-141 b,K2-141 b,2MASS J23233996-0111215,10.619,23h23m39.97s,-01d11m21.4s,2018-01-18
EPIC 246393474,12,K2-141 c,K2-141 c,2MASS J23233996-0111215,10.619,23h23m39.97s,-01d11m21.4s,2018-01-18
EPIC 217671466,7,K2-142 b,HATS-9 b,2MASS J19231442-2009587,13.095,19h23m14.42s,-20d09m58.7s,2018-01-18
EPIC 216414930,7,K2-143 b,HATS-11 b,2MASS J19173618-2223236,13.737,19h17m36.18s,-22d23m23.7s,2018-01-18
EPIC 218131080,7,K2-144 b,HATS-12 b,2MASS J19164857-1921212,12.700,19h16m48.57s,-19d21m21.3s,2018-01-18
EPIC 215969174,7,K2-145 b,HATS-36 b,2MASS J19255488-2312100,14.300,19h25m54.89s,-23d12m10.1s,2018-01-18
EPIC 211924657,5,K2-146 b,K2-146 b,2MASS J08400641+1905346,15.031,08h40m06.43s,+19d05m34.4s,2018-02-01
EPIC 213715787,7,K2-147 b,K2-147 b,2MASS J19351996-2829523,13.355,19h35m19.97s,-28d29m52.2s,2018-02-01
EPIC 220194974,8,K2-148 b,K2-148 b,2MASS J00580427-0011353,12.975,00h58m04.28s,-00d11m35.4s,2018-02-01
EPIC 220194974,8,K2-148 c,K2-148 c,2MASS J00580427-0011353,12.975,00h58m04.28s,-00d11m35.4s,2018-02-01
EPIC 220194974,8,K2-148 d,K2-148 d,2MASS J00580427-0011353,12.975,00h58m04.28s,-00d11m35.4s,2018-02-01
EPIC 220522664,8,K2-149 b,K2-149 b,2MASS J00391724+0716375,13.787,00h39m17.26s,+07d16m37.6s,2018-02-01
EPIC 220598331,8,K2-150 b,K2-150 b,2MASS J01132260+0859152,14.847,01h13m22.60s,+08d59m15.1s,2018-02-01
